127.0.0.1 - - [19/Nov/2021:15:56:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:56:10 +0530] "GET /springmvc/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:56:21 +0530] "GET /springmvc/help HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:56:41 +0530] "GET /springmvc/home HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:56:43 +0530] "GET /springmvc/home HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:57:16 +0530] "GET /springmvc/home HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:57:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:57:31 +0530] "GET /springmvc/about HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:57:36 +0530] "GET /springmvc/home HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [19/Nov/2021:15:57:38 +0530] "GET /springmvc/help HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [19/Nov/2021:16:00:17 +0530] "GET /springmvc/help HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [19/Nov/2021:16:02:41 +0530] "GET /springmvc/help HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [19/Nov/2021:16:21:28 +0530] "GET /springmvc/help HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [19/Nov/2021:16:28:38 +0530] "GET /springmvc/help HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [19/Nov/2021:16:57:55 +0530] "GET /springmvc/help HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [19/Nov/2021:17:56:49 +0530] "GET /springmvc/help HTTP/1.1" 500 3793
0:0:0:0:0:0:0:1 - - [19/Nov/2021:17:57:55 +0530] "GET /springmvc/help HTTP/1.1" 200 339
